,name,temperature (F),humidity,wind_speed,cloudiness %,latitude,longitude
0,Castro,46.4,87,12.75,90,-42.48,-73.76
1,Dikson,40.91,98,6.17,100,73.51,80.55
2,Bereda,65.46,82,3.36,0,43.27,-7.54
3,Thompson,60.8,93,5.82,75,55.74,-97.86
4,East London,55.49,82,6.17,0,-33.02,27.91
5,North Branch,69.85,60,10.29,90,45.51,-92.98
6,Port Alfred,64.99,80,4.0,20,-33.59,26.89
7,Busselton,38.66,66,11.21,0,-33.64,115.35
8,Hithadhoo,82.13,75,10.71,100,-0.6,73.08
9,Sao Filipe,79.43,84,13.0,17,14.9,-24.5
10,Hobart,43.41,75,10.29,20,-42.88,147.33
11,Cherskiy,59.63,80,8.88,100,68.75,161.3
12,Nikita,69.89,52,6.64,0,44.52,34.24
13,Mataura,45.0,93,10.0,100,-46.19,168.86
14,Albany,72.61,38,8.05,40,42.65,-73.75
15,Mantua,74.88,69,5.82,40,45.16,10.79
16,Rikitea,69.35,60,10.98,100,-23.12,-134.97
17,Qaanaaq,35.69,76,5.82,100,77.48,-69.36
18,Ambovombe,70.07,79,17.49,0,-25.18,46.09
19,Arraial do Cabo,68.88,73,3.36,75,-22.97,-42.02
20,Tiksi,46.49,94,4.14,52,71.64,128.87
21,Knysna,55.4,93,10.29,99,-34.04,23.05
22,Hervey Bay,59.04,93,5.82,40,-25.3,152.85
23,Katsuura,70.79,88,3.36,75,33.93,134.5
24,Tasiilaq,44.6,75,9.17,100,65.61,-37.64
25,Waipawa,50.0,82,13.0,0,-39.94,176.59
26,Ushuaia,42.8,94,5.82,0,-54.81,-68.31
27,Benguela,68.99,87,3.76,100,-12.58,13.4
28,Quarteira,70.97,83,4.7,20,37.07,-8.1
29,Bredasdorp,54.05,87,6.93,99,-34.53,20.04
30,Norman Wells,62.6,36,3.36,75,65.28,-126.83
31,Port Elizabeth,73.13,60,14.99,75,39.31,-74.98
32,Saskylakh,50.63,90,5.21,68,71.97,114.09
33,Vaini,74.93,93,1.92,95,15.34,74.49
34,Marawi,75.0,93,4.0,100,8.0,124.29
35,Jamestown,36.41,88,2.84,0,-33.21,138.6
36,Vila Franca do Campo,70.47,88,9.17,75,37.72,-25.43
37,Atuona,78.71,70,16.26,0,-9.8,-139.03
38,Cape Town,56.7,76,4.7,75,-33.93,18.42
39,Sooke,66.16,68,3.36,40,48.37,-123.73
40,Taloqan,70.07,23,5.84,0,36.74,69.54
41,Tarbes,69.44,88,5.82,0,43.23,0.08
42,Mar del Plata,50.81,32,11.59,6,-46.43,-67.52
43,Butaritari,84.29,73,11.48,61,3.07,172.79
44,Bonito,76.55,91,5.82,36,-1.36,-47.3
45,Abu Dhabi,91.4,66,2.24,0,24.47,54.37
46,Upernavik,43.07,74,1.54,100,72.79,-56.15
47,Faya,68.05,48,0.49,0,18.39,42.45
48,Sivaki,55.31,88,1.99,96,52.63,126.75
49,Cidreira,61.25,79,20.96,37,-30.17,-50.22
50,Severo-Kurilsk,48.65,96,23.69,100,50.68,156.12
51,Trairi,77.27,64,7.54,6,-3.28,-39.27
